Name,Description,Website,twitter
CoinFund,"Investment in venture and liquid opportunities within the blockchain sector with a focus on digital assets, decentralization technologies, and their key enabling infrastructure",https://coinfund.io,https://twitter.com/coinfund_io?lang=en
CoinShares,Institutional-grade solutions for digital asset investors,https://coinshares.com,https://twitter.com/CoinSharesCo
Collab+Currency,Early stage investor in projects building the next generation of financial infrastructure,https://www.collaborativefund.com/crypto,
Collaborative Fund,Supporting businesses at the intersection of self-interest and broader interest,https://www.collaborativefund.com,https://twitter.com/collabfund
Consensys Labs,"ConsenSys Labs is the venture arm of ConsenSys, supporting entrepreneurs and developers around the world through tools, talent, and capital",https://labs.mesh.xyz,
Continue Capital,"Investing in global blockchain technology, early-stage technology startup and providing Quant-Trading service",https://continue.capital/,"https://twitter.com/PalmLee_, https://twitter.com/xhlin, https://twitter.com/ContinueFund"
D1 Ventures,Investments in Polkadot ecosystem,https://d1.ventures,https://twitter.com/d1ventures
DHVC,"DHVC is a venture capital firm based in Palo Alto, California which invests in Enterprise, Consumer, FinTech, and Healthcare sectors",https://www.dh.vc,
DeFiance Capital,DeFiance Capital is a Decentralized Finance (DeFi) focused cryptoasset fund that combines fundamental research with an activist investment approach,https://www.defiance.capital,https://twitter.com/DeFianceCapital
Delphi Digital,Fundamental research & investing,https://www.delphidigital.io/ventures,
Digital Asset Capital Management,Specialist manager of digital asset funds offering institutional and family office investors exposure to this rapidly growing asset class,https://dacm.io,https://twitter.com/DigiAssetFund
Digital Currency Group,DCG builds and supports bitcoin and blockchain companies,http://dcg.co,https://twitter.com/DCGco
Distributed Global,Distributed Global is a venture firm focused on the blockchain ecosystem,http://www.distributedglobal.com,
Divergence Ventures,Crypto Operator Fund,https://www.div.vc,
DragonFly,A cross-border cryptoasset investment firm,https://www.dcp.capital,"https://twitter.com/dragonfly_xyz, https://twitter.com/bryanmedelman, https://twitter.com/kapursanat, https://twitter.com/MikhJones, https://twitter.com/ScottHershorin, https://twitter.com/RuneKek, https://twitter.com/hosseeb, https://twitter.com/LindsayxLin, https://twitter.com/pat_goodridge, https://twitter.com/IvanBogatyy, https://twitter.com/hildobby_, https://twitter.com/MichalUlmer_, https://twitter.com/HadickM, https://twitter.com/0xsudogm, https://twitter.com/tomhschmidt, https://twitter.com/zorkary, https://twitter.com/JessicaFurr305, https://twitter.com/ani_pai, https://twitter.com/casatay, https://twitter.com/chaselochmiller, https://twitter.com/merklejerk, https://twitter.com/kadin256, https://twitter.com/TheOneandOmsy"
DTC Capital,Crypto-Native Investment Fund,https://www.dtc.capital,
DU Capital,Singapore-based multi-stage investment firm backing companies and entrepreneurs that venture in innovative technologies such as the distributed ledger technologies,https://www.du.capital,https://www.sosolx.com/
Eden Block,Venture house dedicated to enabling a new digital future with blockchain,https://www.edenblock.com,"https://twitter.com/YoannDo, https://twitter.com/vonplumps, https://twitter.com/EdenBlockVC, https://twitter.com/cleanunicorn, https://twitter.com/rambos, https://twitter.com/sergonchain, https://twitter.com/lior_eth?s=21&t=qiQcX1NJYdxHhjk35CqyiA, https://twitter.com/ollieblears, https://twitter.com/nelsonthechain?s=21&t=qiQcX1NJYdxHhjk35CqyiA"
Electric Capital,"Electric Capital is an early stage venture firm focused on cryptocurrencies, blockchain, fintech, and marketplaces. We invest in companies and protocols built on top of Programmable Money",https://www.electriccapital.com,https://twitter.com/electriccapital?lang=en
Eterna Capital,Blockchain Investment firm,https://www.eternacapital.com,"https://ascendex.com/en/global-digital-asset-platform, https://twitter.com/eternacapital"
Fabric Ventures,Venture Capital fund investing in blockchain and decentralised data networks powering Web 3.0,https://www.fabric.vc,"https://twitter.com/EleanorGraceHu1, https://twitter.com/fynndusb, https://twitter.com/fabric_vc, https://twitter.com/ahansjee, https://twitter.com/MerschMax_, https://fabricventures.services.asset-metrix.com/login, https://twitter.com/richardmuirhead, https://twitter.com/nosremenai, https://twitter.com/KimGrey_Agency, https://twitter.com/julienthevenard, https://twitter.com/windychester1, https://twitter.com/LataPersson"
FBG Capital,FBG Capital is a digital asset management firm in blockchain-based capital market,https://www.fbg.capital,"https://projectlarix.com/, https://ftx.com, https://ascendex.com/"
Fenbushi Venture Capital,First and most active blockchain-focused venture capital firm in Asia,https://www.fenbushicapital.vc,
Fengshui Capital,Blockchain investment firm,https://fengshui.capital,
Foundation Capital,Venture capital firm in Silicon Valley,https://foundationcapital.com,https://twitter.com/foundationcap
Framework Ventures,A thesis-driven venture firm that builds alongside our founders,https://framework.ventures,https://twitter.com/hiFramework
Fundamental Labs,"Venture capital firm focused exclusively on blockchain tech, digital infrastructure, and open finance network",https://fundamentallabs.com/#/,
Galaxy Digital,"Galaxy Digital is a diversified financial services and investment management innovator in the digital asset, cryptocurrency, and blockchain technology sector",https://www.galaxydigital.io,https://twitter.com/GalaxyHQ
Genesis Block Ventures,Cryptocurrency investment management firm investing exclusively in a diversified portfolio of digital assets,https://www.genesisblockcapital.com,
Greenfield One,"Long-term bets on early developer teams building towards an open, decentralized and more robust architecture of tomorrow’s web",https://www.greenfield.one,https://twitter.com/greenfield_cap
Gumi Cryptos,"Blockchain/crypto venture fund launched by gumi Inc., a leading global mobile game publisher and developer",https://www.gumi-cryptos.com,https://twitter.com/GumiCryptos
Hashed,"Global, early stage venture fund focused on backing founders who are pioneering the future of blockchain and cryptocurrency",https://www.hashed.com,https://twitter.com/hashed_official
Hashkey Capital,HashKey Group participates in high potential digital asset investment opportunities for institutional investors and creates and funds our own investment initiatives in the blockchain space,https://www.hashkey.com/business-lines/capital,
Huobi Capital,"Huobi Capital is the investment arm of Huobi, focusing exclusively on ventures and projects related to blockchain technology, digital currency, and crypto currency",https://www.huobi.com/capital,
Hypersphere Ventures,Hypersphere is a venture-technology firm investing in and building technology in the blockchain industry. Hypersphere partners with projects and participates deeply in the communities we invest in,https://www.hypersphere.ventures,
IDEO Colab Ventures,Investments in early-stage distributed web startups and co-creation & launch of new products and protocols,https://www.ideocolab.com/ventures,
INBlockchain,INB is the most influential investment group in the Chinese blockchain space,https://www.inblockchain.com,"https://www.basefex.com, https://www.btcmex.com"
Infinite Capital,Crypto & Defi Investments,https://infinitecapital.io,
IOSG Ventures,"A research and community driven venture capital focused on Open Finance, Web 3.0, and cross-chain industry",https://iosg.vc/#/,"https://twitter.com/xinshudong, https://twitter.com/JiapingWang19, https://twitter.com/IOSGVC, https://twitter.com/_RayXiao, https://twitter.com/Ishanee_, https://twitter.com/PerionDAO, https://twitter.com/ergokhaner, https://twitter.com/Polemos_io, https://twitter.com/momir_amidzic, https://twitter.com/derekyoo, https://twitter.com/no89thkey, https://twitter.com/Typto_DAOSquare, https://twitter.com/dawnsongtweets, https://twitter.com/permanentvc, https://twitter.com/abandeali1"
Kenetic Capital,Systematic cryptocurrency trading strategies and equity investment in series A/B blockchain companies,https://kenetic.capital,https://twitter.com/keneticcapital
KR1,KR1 (founded 2016 as KRYPTONITE1) is a leading European digital asset investment company supporting early-stage blockchain and DeFi projects.,https://www.kryptonite1.co,https://twitter.com/KR1plc
Lemniscap,Investment firm specialized in cryptoassets and blockchain startups,https://lemniscap.com,
Libertus Capital,"Investments in companies and protocols that enhance and protect freedom, privacy and trust.",https://www.libertuscapital.com,
LongHash Ventures,Accelerator and investor in early-stage blockchain start-ups,https://www.longhashventures.com,
Lunex Ventures,LuneX Ventures invests in Cryptocurrencies and Blockchain companies,https://lunex.vc,"https://twitter.com//statuses/, https://twitter.com/LunexVC, http://www.astronautix.com/data/lunex.pdf"
Lvna Capital,Digital asset investment manager that focuses on institutional and professional individual investors,https://lvnacapital.com,"http://twitter.com/lvnacapital, https://twitter.com/vogelbit, https://twitter.com/AllanCassis"
Mechanism Capital,"Investment firm that funds, builds ecosystem tools, produces public research, and participates actively in decentralized governance",https://www.mechanism.capital,
MetaStable,Management of Crypto Asset Hedge Funds,http://www.metastablecapital.com,"https://twitter.com/dragonfly_xyz, https://twitter.com/bryanmedelman, https://twitter.com/kapursanat, https://twitter.com/MikhJones, https://twitter.com/ScottHershorin, https://twitter.com/RuneKek, https://twitter.com/hosseeb, https://twitter.com/LindsayxLin, https://twitter.com/pat_goodridge, https://twitter.com/IvanBogatyy, https://twitter.com/hildobby_, https://twitter.com/MichalUlmer_, https://twitter.com/HadickM, https://twitter.com/0xsudogm, https://twitter.com/tomhschmidt, https://twitter.com/zorkary, https://twitter.com/JessicaFurr305, https://twitter.com/ani_pai, https://twitter.com/casatay, https://twitter.com/chaselochmiller, https://twitter.com/merklejerk, https://twitter.com/kadin256, https://twitter.com/TheOneandOmsy"
Morgan Creek Capital,SEC-registered investment adviser providing investment management services to institutions and wealthy families,https://www.morgancreekcap.com,
Multicoin Capital,"Thesis-driven investment firm that invests in cryptocurrencies, tokens, and blockchain companies",https://multicoin.capital,"https://twitter.com/KyleSamani, https://twitter.com/kankanivishal, https://twitter.com/aleksijavujicic, https://twitter.com/shayonsengupta, https://twitter.com/multicoincap, https://twitter.com/TusharJain_, https://twitter.com/johnrobertreed"
Nascent,"Nascent is a multi-strategy investment firm focused that pursues compelling opportunities in crypto, DeFi, and the open economies they enable",https://www.nascent.xyz,https://twitter.com/nascentxyz
NGC Ventures,Blockchain investment fund,https://www.ngc.fund,
Nima Capital,"Nima Capital LLC, a single-family office with private and public equity investing platforms",http://nimacap.com,
Outlier Ventures,Outlier Ventures is a venture platform that supports the development and growth of emerging technologies,https://outlierventures.io,https://twitter.com/oviohq
Pantera Capital,"Pantera Capital is an investment firm focused exclusively on ventures, tokens, and projects related to blockchain tech, digital currency, and crypto assets",https://www.panteracapital.com,https://twitter.com/PanteraCapital
Paradigm,Crypto-focused investment firm based in San Francisco investing in crypto assets and businesses from the earliest stages of idea formation through to maturity,https://www.paradigm.xyz,
Parafi Capital,ParaFi Capital is an alternative investment firm focused on blockchain and decentralized finance markets,https://www.parafi.capital,
Placeholder,Placeholder is a venture capital firm that invests in open blockchain networks and related Web3 infrastructure,https://www.placeholder.vc,"https://twitter.com/jmonegro, https://twitter.com/cburniske, https://twitter.com/mlphresearch, https://twitter.com/BradUSV, https://twitter.com/placeholdervc"
PolybiusCapital,Principal investment firm investing and supporting the blockchain ecosystem,https://www.polybiuscapital.com,
Polychain Capital,Leading VC in crypto,https://polychain.capital,
PREangel Fund,Beijing-based investment fund focused on early-stage internet startups,http://www.preangelfund.cn,"https://twitter.com/preangelleo, https://twitter.com/preangelfund"
QCP Capital,Asia's (leading) digital economy traders,https://qcp.capital,https://www.twitter.com/qcpcapital
Queschain Capital,Blockchain-focused venture capital with focus on disruptive and transformative movements in the blockchain industry and the crypto community,https://queschain.com,
Robot Ventures,Robot Ventures is a (pre-)seed investor in fintech / crypto companies with big ambitions and contrarian worldviews,https://robvc.com,"https://twitter.com/hi_Reverie, https://twitter.com/robotventures, https://twitter.com/rleshner, https://twitter.com/tarunchitra"
Semantic VC,Investing in new rails for data & the digital economy,https://www.semantic.vc,https://twitter.com/i/lists/1302989737104416769/members
Signum Capital,Singapore-based firm that consults in Blockchain-enabled companies & participates in pre-sale stages of Token Generation Events and Equity investments,https://www.signum.capital,https://twitter.com/Signum_Capital
Sino Global Capital,Investments in decentralized technologies that have a strategic connection to the mainland Chinese market,https://www.sinoglobalcapital.com,
Slow Ventures,VC in tech industry,http://www.slow.co,
SNZ Holding,"Empowering blockchain projects through the SNZ hub, a network with global top tier venture capitals, state-of-the art blockchain technologies, and various communities",https://snzholding.com,https://twitter.com/snzholding
Sora Ventures,Crypto-backed venture capital firm dedicated to blockchain and digital currency investments,http://www.sora.vc,
The Spartan Group,Digital asset management firm that takes a fundamental approach to identify unique investment opportunities in the emergent crypto asset class,https://www.spartangroup.io,"https://twitter.com/CatalystAMM/status/1671559100172230656, https://twitter.com/SkipProtocol/status/1661781304432824322, https://twitter.com/TheSpartanGroup, https://twitter.com/i/lists/1620595874329165824"
Standard Crypto VC,Crypto-focused VC firm,https://standardcrypto.vc,
Tetras Capital,Tetras Capital is an actively managed crypto hedge fund,https://tetras.capital,
Three Arrows Capital,Crypto Trading & VC,https://www.threearrowscap.com,
Variant Fund,Variant is an early-stage venture firm investing in crypto networks & platforms building The Ownership Economy,https://variant.fund,https://twitter.com/variantfund/
Volt Capital,Crypto Venture Firm,https://www.volt.capital,
Web 3 Capital,Web3 Capital is a decentralized venture capital fund focusing on investing in Polkadot ecosystem projects,https://web3.capital,https://www.twitter.com/web3capital
Youbi Capital,Blockchain & FinTech PE/VC Fund,https://www.youbicapital.com,https://twitter.com/youbicapital
Zee Prime Capital,Investments in liquid cryptoassets on the open market and early-stage funding rounds incl. staking & running nodes,https://zeeprime.capital,https://twitter.com/ZeePrimeCap
zk Capital,"zk Capital provides venture capital services - financing, mentoring, and research collaboration to emerging and start-up companies, namely in the blockchain technology space",https://www.zk.capital,
9Yards Capital,9YC is a global investment firm that invests in tech enabled consumer and enterprise fintech and logistics companies at the growth stage,https://9yardscapital.com,https://twitter.com/9yardscapital 
Version One Ventures,Version One Ventures backs mission-driven founders at the earliest stages,http://versionone.vc,https://twitter.com/VersionOneVC
SV Angel,"SV Angel is an angel firm that helps startups with business development, financing, M&A, and other strategic advice",http://www.svangel.com,https://twitter.com/svangel
8 Decimal Capital,A multi-strategy investment firm focused on both token and equity investment,www.8dcapital.com,
Block Ventures,Block Ventures is a venture capital firm investing in disruptive blockchain technology companies,block.ventures,"https://twitter.com/BlockVentures_, https://pundix.com/"
Black Hole Capital,"Black Hole Capital makes equity investments in the internet and mobile Internet, hi-tech, healthcare and other sectors",www.blackholecap.com/,
MKT,MKT invests in easrly-stage blockchain and fin-tech companies,,
Funcity Capital,"Funcity Capital is an asset management company specializing in Internet finance, artificial intelligence, blockchain, and smart travel.",http://www.funcityholding.com/,
Limitless Crypto Investments,"LCI offers exposure to ventures, tokens, and projects related to blockchain tech, digital currency, and crypto assets.",https://www.limitlesscryptos.com/,
Sequoia Capital,"Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",https://www.sequoiacap.com/,
Plutus21,"Plutus21 is an investment firm focused on alternative assets such as crypto, venture capital, and real estate.",https://www.plutus21.com/,https://twitter.com/plutus21cap
Vertex Ventures,Vertex Ventures is a global network of operator-investors that manages portfolios.,http://www.vertexventures.com/,
Vertex Ventures China,Vertex Ventures China invests in high-growth internet and technology start-ups across mainland China.,https://www.vertexventures.cn/,
Vertex Ventures Southeast Asia & India,Vertex Ventures Southeast Asia & India invests in high-growth start-ups in Southeast Asia and India.,http://www.vertexventures.com/southeast-asia-india/,"https://twitter.com/VertexVentures, https://twitter.com/vertexventures"
Avant Global,Avant Global is a relationship-driven private investment firm founded in 1999 to manage assets of a single family.,https://avantglobal.com/,
All Blue Capital,"AB Capital is an international investment firm that has global scale, local expertise and an entrepreneurial approach.",https://www.allbluecapital.com/,"https://twitter.com/allbluecap?lang=en, https://twitter.com/allbluecap"
Lightspeed Venture Partners,"Lightspeed Venture Partners is a venture capital firm that engages in consumer, enterprise, technology, and cleantech markets.",https://lsvp.com/,"https://twitter.com/LightspeedIndia, https://services.sungarddx.com/LogOn/2947033?redirectUrl=%2FDocument%2F2947033, https://twitter.com/lightspeedvp?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor"
Pathfinder,"Pathfinder, previously known as FF Angel, is the early stage investment vehicle of venture capital firm Founders Fund.",,
Vast Ventures,"Vast Ventures is a venture capital fund that invests in Seed, Series A and growth stages.",https://www.vastvc.com/,
Camp One Ventures,"Camp One Ventures is a venture capital fund that does investments in early-staged social, mobile, FinTech, and SaaS startups.",http://www.camponeventures.com/,
Core Innovation Capital,Core Innovation Capital is a venture capital firm investing in companies committed to empowering small businesses.,http://www.corevc.com/,https://twitter.com/TheRealCoreVC
Hinge Capital,Hinge Capital is a investment firm.,https://hingecapital.com/,https://twitter.com/hingecapital
IDG Capital,IDG Capital is an investment firm that funds early- to growth-stage companies in the technology sector.,http://en.idgcapital.com/,https://twitter.com/IDGCapital
AME Cloud Ventures,AME Cloud Ventures invests in seed to later-stage tech companies that build infrastructure and value chains around data.,http://www.amecloudventures.com/,"https://twitter.com/jefchung, https://twitter.com/NickAdms"
CME Ventures,CME Ventures is the strategic investment arm of CME Group focused on managing a portfolio of external minority equity investments,https://www.cmegroup.com/cme-ventures.html,
CRCM Ventures,"CRCM Ventures invests in early stage companies in the US and China, targeting consumer, frontier tech, health, and fintech industries.",http://www.crcmventures.com/,
Route 66 Ventures,Route 66 Ventures provides venture capital and credit solutions to emerging financial technology and services companies.,https://route66ventures.com/,https://twitter.com/route66ventures
RRE Ventures,"RRE Ventures is a venture capital firm that offers early-stage funding to software, internet, and communications companies.",https://rre.com/,https://twitter.com/RRE
Seagate Technology,"Seagate offers consumers and businesses with data storage solutions to create, share, and preserve digital content.",https://www.seagate.com,http://twitter.com/#!/SEAGATE
Knight Enterprise Fund,Knight Enterprise Fund is a venture capital firm based in Florida that finances early stage investments of media and technology companies.,knightfoundation.org/enterprise-fund,
Mouro Capital,Mouro Capital is a venture capital firm backing entrepreneurs who are shaping the future of financial services.,www.mourocapital.com/,https://twitter.com/mourocapital
Abstract Ventures,"Abstract Ventures is a sector agnostic venture investor in Pre-seed, Seed, and Series A startup companies.",www.abstract.vc,
Accenture,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",www.accenture.com/in-en,
SBI Investment,SBI Investment supports the business development and growth of private venture companies through fund investment.,www.sbinvestment.co.jp/,
SCB 10X,SCB 10X is an investment firm that invests in technology startups.,scb10x.com/,"https://www.scb10x.com/news, https://www.scb10x.com/,  https://twitter.com/SCB10X_OFFICIAL, https://www.scb10x.com/privacy, https://www.scb10x.com/blog/discover-aave-ecosystem-drive-defi-forward, https://www.scb10x.com/events, https://www.scb10x.com/careers/senior-engineer-architect, https://www.scb10x.com/blog/approval-of-spot-bitcoin-etf-impact-in-thailand, https://www.scb10x.com/venture-capital, https://www.scb10x.com/blog, https://www.scb10x.com/blog/osmosis-based-defi-transformation-appchain, https://www.scb10x.com/venture-builder, https://www.scb10x.com/careers/data-engineer-1, https://www.scb10x.com/blog/deep-dive-web3-gaming-market-yield-guild-games, https://darwinbox.com/, https://www.scb10x.com/cookies-privacy, https://www.scb10x.com/careers?j=all, https://www.scb10x.com/blog/investing-cryptocurrency-during-bear-market-overview-opportunity-and-challenges, https://www.scb10x.com/careers, https://www.scb10x.com/contact, https://www.scb10x.com/blog/discussing-metaverse-sandbox-world-speculates-metaverse-survive, https://www.scb10x.com/careers/hr-manager, https://www.scb10x.com/about, https://www.scb10x.com/careers/senior-product-specialist, https://www.scb10x.com/careers/senior-ai-engineer"
Standard Chartered Bank,Standard Chartered Bank is an international banking group.,www.sc.com,
PMT Ventures,PMT Ventures is an investment and research firm empowering the next generation of Web 3.0,pmt.vc/,
Tetragon Financial Group Limited,"Tetragon Financial Group aims to provide stable returns to investors across various credit, equity, interest rate, and real estate cycles.",www.tetragoninv.com/,
Nirvana Capital,Nirvana Capital is a blockchain focused fund.,nirvana.capital/,
AU21 Capital,A fund dedicated to backing the most brilliant minds in the blockchain space,au21.capital/,https://twitter.com/au21capital?lang=en
500 Startups,"500 Startups is a global venture capital firm with a network of startup programs for founders, mentors, and investors.",500.co,https://twitter.com/500GlobalVC
Passport Capital,"Passport Capital LLC is a San Francisco based, global investment firm founded by John H. Burbank III in 2000.",www.passportcapital.com,
Reciprocal Ventures,Reciprocal Ventures is a venture capital firm focused exclusively on FinTech.,recvc.com,
Rockaway Ventures,Rockaway Ventures (Fund of Rockaway Capital) focuses on late-stage venture and growth equity ESG investments in digital economy in Europe,,
Jump Trading,"Jump Trading is a globally-positioned, proprietary trading firm.",www.jumptrading.com/,https://twitter.com/jumptrading
L1 Digital,"Sourcing the best crypto and blockchain investments globally through funds, co-investments and directs.",l1.digital,https://twitter.com/L1Digital_
Memetic Capital,Memetic Capital is an investment firm.,,
ICONIZ,ICONIZ is the world’s leading blockchain accelerator for startups.,www.iconiz.io,
Node Capital,Node Capital is a venture capital company focusing on blockchain industry.,www.nodecap.com,
DCM Ventures,"DCM Ventures is an early-stage venture capital firm that invests in the mobile, consumer internet, communications, and service sectors.",www.dcm.com,https://twitter.com/dcm_vc
Heuristic Capital,Heuristic Capital Partners is an early stage hardware focused venture fund.,www.heuristiccapital.com/,
Sierra Ventures,Sierra Ventures is an early-stage venture firm investing globally with a focus on next generation enterprise and emerging technologies.,www.sierraventures.com,https://twitter.com/Sierra_Ventures
Sparkland Capital,Sparkland Capital is an early-stage venture capital firm that invests in frontier technologies.,www.sparklandcap.com/,
The Venture Reality Fund,"The Venture Reality Fund invests in early stage AI, AR & VR startups defining the future of computing",www.thevrfund.com,https://twitter.com/TheVRFund
Zhiping Capital,-,,
Samsung NEXT,Samsung NEXT invests in transformative early-stage software and services startups.,samsungnext.com/ventures,
UpHonest Capital,UpHonest Capital is an international venture capital firm that specializes in providing investment capital to early-stage startups.,www.uphonestcapital.com/,
Wei Fund,Angel fund in Silicon Valley,,
Stripe,Stripe is a developer-oriented commerce company helping small and large companies accept web and mobile payments.,stripe.com,
Chain Capital,"Chain Capital specializes in investing projects in Blockchain and offers incubation, advisory, and financial services.",capital-chain.com/en/index.html,
Cardinal Capital,"Blockchain, Cryptocurrency, Fintech",www.cardinal.vc,
yield ventures,bringing awareness to yield generation for the masses and deploying capital as venture builders,www.yieldventures.io/,https://twitter.com/yieldventures
Pillar VC,"Pillar VC invests in seed-stage companies in Boston, supporting unstoppable founders with capital, connections, coaching, and peer support.",pillar.vc/,https://twitter.com/pillar_vc
Union Square Ventures,"Union Square Ventures is a venture capital firm focused on early-stage, growth-capital, late stage, and startup financing.",www.usv.com,https://twitter.com/usv
Kosmos Ventures,Kosmos Ventures is the leading and largest Australian based multi-strategy VC firm specializing in blockchain-based assets.,kosmos.vc,https://twitter.com/kosmosvc
VLane Capital,Early stage blockchain venture fund,,
ICONIUM,ICONIUM is backing the best Blockchain-based token sales and invest in digital assets Worldwide.,www.iconium.it,https://twitter.com/iconiumv
High Naut Capital,Mission-driven crypto asset fund. Fundamentals first.,www.highnaut.com,
Dolfin,"An independent investment firm providing custody, trading and asset management to institutional and private clients.",dolfin.com/,
ZBS CAPITAL,ZBS Capital is a venture capital fund focused on companies building a decentralized world,zbs.capital,https://twitter.com/ZBScapital
Tally Capital,Blockchain technology represents one of the greatest generational opportunities for entrepreneurs and investors.,tallycapital.com/,
Distributed Global,A crypto investment firm,www.distributedglobal.com/,
BCA Fund,BCA Fund is an investment Firm.,,
Consensus Capital Holdings,Consensus Capital Holdings is a private investment and management firm.,www.consensuscapitalholdings.com/,
UniValues Associates,UniValues Associates is a investment firm.,,
ZhenFund,"ZhenFund invests in TMT, healthcare, and education among other sectors.",www.zhenfund.com,
Matrix Partners China,Matrix Partners China builds long-term relationships with entrepreneurs and helps them build significant companies.,www.matrixpartners.com.cn/,
Sequoia Capital China,"Sequoia Capital China is a VC firm focused on seed stage, mid stage, late stage, and growth investments in the fintech sector.",www.sequoiacap.com/china/en/,
Connect Capital,Connect Capital is a blockchain and digital assets investments fund.,connect.capital/,
Cypher Capital,Cypher Capital is a early stage VC and consultant firm,www.cyphercapital.net/,
